ticker,bloomberg_ticker,yahoo_symbol,description,ibkr_symbol,sec_type,exchange,currency,point_value,tick_size,contract_type,max_contracts,reviewed
ZT,LC1 Comdty,LE=F,Live Cattle,LE,FUT,CME,USD,400,0.025,FUT,1,true
ZZ,LH1 Comdty,HE=F,Lean Hogs,HE,FUT,CME,USD,400,0.025,FUT,1,true
AN,AD1 Curncy,6A=F,Australian Dollar,6A,FUT,CME,USD,100000,0.00005,FUT,2,true
BN,BP1 Curncy,6B=F,British Pound,6B,FUT,CME,USD,62500,0.0001,FUT,2,true
CN,CD1 Curncy,6C=F,Canadian Dollar,6C,FUT,CME,USD,100000,0.00005,FUT,2,true
FN,EC1 Curncy,6E=F,Euro FX,6E,FUT,CME,USD,125000,0.00005,FUT,2,true
JN,JY1 Curncy,6J=F,Japanese Yen,6J,FUT,CME,USD,12500000,0.0000005,FUT,2,true
SN,SF1 Curncy,6S=F,Swiss Franc,6S,FUT,CME,USD,125000,0.0001,FUT,2,true
MP,PE1 Curncy,6M=F,Mexican Peso,6M,FUT,CME,USD,500000,0.00001,FUT,2,true
DX,DX1 Curncy,DX-Y.NYB,US Dollar Index,DX,FUT,NYBOT,USD,1000,0.005,FUT,2,true
